size,epoch,batch_number,loss
4.0,0.0,0.0,2.535895347595215
4.0,0.0,2.0,1.5528249740600586
8.0,0.0,0.0,2.7088801860809326
8.0,0.0,2.0,3.175920009613037
16.0,0.0,0.0,3.80420184135437
16.0,0.0,2.0,4.263376712799072
16.0,0.0,4.0,5.211636543273926
16.0,0.0,6.0,4.702434062957764
32.0,0.0,0.0,5.696720123291016
32.0,0.0,2.0,6.746776580810547
32.0,0.0,4.0,7.339384078979492
32.0,0.0,6.0,7.0445661544799805
32.0,0.0,8.0,6.884961128234863
32.0,0.0,10.0,6.314414978027344
32.0,0.0,12.0,5.240847110748291
32.0,0.0,14.0,4.0503621101379395
